country;area
Russia;17075400
Canada;9984670
China;9596960
US;9372610
Brazil;8547000
Australia;7686850
India;3287590
Argentina;2760990
Kazakhstan;2717300
Sudan;2505810
Algeria;2381740
Congo, Democratic Republic;2345410
Saudi Arabia;2218000
Mexico;1972550
Indonesia;1919440
Libya;1759540
Iran;1648000
Mongolia;1564116
Peru;1285220
Chad;1284000
Niger;1267000
Angola;1246700
Mali;1240000
South Africa;1219912
Colombia;1138910
Ethiopia;1104300
Bolivia;1098580
Mauritania;1030700
Egypt;1001450
Tanzania;945090
Nigeria;923768
Venezuela;916445
Namibia;825418
Pakistan;803940
Mozambique;801590
Turkey;780580
Chile;756950
Zambia;752614
Myanmar;678500
Afghanistan;647500
Somalia;637657
Central African Republic;622984
Ukraine;603700
Botswana;600370
Madagascar;587041
Kenya;582650
France;547030
Yemen;527970
Thailand;514000
Spain;504782
Turkmenistan;488100
Cameroon;475440
Papua New Guinea;462840
Sweden;449964
Uzbekistan;447400
Morocco;446550
Iraq;437072
Paraguay;406750
Zimbabwe;390580
Norway;386000
Japan;377835
Germany;357022
Congo, Republic;342000
Finland;338145
Malaysia;329758
Vietnam;329560
Cote d'Ivoire;322460
Poland;312685
Oman;309500
Italy;301230
Philippines;298170
Ecuador;283560
Burkina Faso;274400
New Zealand;268680
Gabon;267667
Guinea;245857
United Kingdom;244101
Ghana;238540
Romania;237500
Laos;236800
Uganda;236040
Guyana;214970
Belarus;207600
Kyrgyzstan;198500
Senegal;196722
Syria;185180
Cambodia;181040
Uruguay;176220
Tunisia;163610
Suriname;163270
Nepal;147181
Bangladesh;144000
Tajikistan;143100
Greece;131940
Nicaragua;129494
Eritrea;121320
North Korea;120540
Malawi;118480
Benin;112620
Honduras;112090
Liberia;111370
Cuba;110992
Bulgaria;110910
Guatemala;108890
Iceland;103125
South Korea;99274
Hungary;93030
Portugal;92391
Jordan;92300
Serbia;88361
Azerbaijan;86600
Austria;83871
United Arab Emirates;83600
Czech Republic;78866
Panama;75570
Sierra Leone;71740
Ireland;70273
Georgia;69700
Sri Lanka;65610
Lithuania;65200
Latvia;64589
Togo;56785
Croatia;56542
Bosnia and Herzegovina;51129
Costa Rica;51100
Slovakia;48845
Dominican Republic;48730
Bhutan;46500
Estonia;45226
Denmark;43094
Netherlands;41526
Switzerland;41290
Guinea-Bissau;36120
Moldova;33843
Belgium;32545
Lesotho;30355
Armenia;29800
Solomon Islands;28896
Albania;28748
Equatorial Guinea;28051
Burundi;27830
Haiti;27750
Israel;26900
Rwanda;26338
Macedonia;25333
Belize;23000
Djibouti;23000
El Salvador;21040
Slovenia;20253
Fiji;18270
Kuwait;17818
Swaziland;17363
East Timor;14900
Bahamas;13940
Montenegro;13812
Vanuatu;12200
Qatar;11437
Gambia;11300
Jamaica;10991
Lebanon;10452
Cyprus;9250
Brunei;5770
Trinidad and Tobago;5128
Cape Verde;4033
Samoa;2860
Luxembourg;2586
Comoros;2170
Mauritius;2040
S?o Tom? and Pr?ncipe;1001
Dominica;754
Tonga;748
Kiribati;726
Federated States of Micronesia;701
Bahrain;695
Singapore;693
Saint Lucia;616
Andorra;468
Palau;458
Seychelles;455
Antigua and Barbuda;442
Barbados;430
Saint Vincent and the Grenadines;389
Grenada;344
Malta;316
Maldives;298
Saint Kitts and Nevis;261
Marshall Islands;181
Liechtenstein;160
San Marino;61
Tuvalu;26
Nauru;21
Monaco;2
Vatican City;0.44
