Дата создания;Order ID;ID Покупателя;Статус;Оплачен;Отменен;Отгружен;ID товара;Количество
09.11.2019 21:55:51;9;10;Принят, ожидается оплата;Нет;Нет;Нет;103;5
09.11.2019 15:05:57;8;9;Принят, ожидается оплата;Нет;Нет;Нет;86;100
09.11.2019 15:05:57;8;9;Принят, ожидается оплата;Нет;Нет;Нет;104;10
09.11.2019 12:50:07;7;8;Принят, ожидается оплата;Нет;Нет;Нет;104;7
09.11.2019 12:00:00;6;1;Принят, ожидается оплата;Нет;Нет;Нет;104;5
09.11.2019 12:00:00;6;1;Принят, ожидается оплата;Нет;Нет;Нет;103;5
08.11.2019 08:36:22;5;5;Отменён;Нет;Да;Нет;124;1
08.11.2019 08:36:22;4;9;Принят, ожидается оплата;Нет;Нет;Да;91;1
08.11.2019 08:36:22;3;8;Оплачен, формируется к отправке;Да;Нет;Нет;103;3
08.11.2019 08:36:22;3;8;Оплачен, формируется к отправке;Да;Нет;Нет;104;3
08.11.2019 08:36:21;2;7;Выполнен;Да;Нет;Да;74;1
08.11.2019 08:36:21;2;7;Выполнен;Да;Нет;Да;53;1
08.11.2019 08:36:21;2;7;Выполнен;Да;Нет;Да;137;1
08.11.2019 08:36:21;2;7;Выполнен;Да;Нет;Да;47;1
08.11.2019 08:36:20;1;5;Оплачен, формируется к отправке;Да;Нет;Нет;71;1
08.11.2019 08:36:20;1;5;Оплачен, формируется к отправке;Да;Нет;Нет;86;1
08.11.2019 08:36:20;1;5;Оплачен, формируется к отправке;Да;Нет;Нет;51;1
01.01.2001 00:00:00;0;1;Оплачен, формируется к отправке;Да;Нет;Нет;666;1
